part_number,id,description,footprint,tags
nimbus-wpt-v0.1,csgfmtv7etgs98jdsz14cteds7,"Wireless power transfer companion board for Nimbus, version 0.1",,
CL05B104KO5NNNC,84jkk9p6aekm7a42nprtbt5vb9,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,
CL21B104JBCNNNC,ekva04jrdegx5bv1b2phqgn9bw,"Multilayer Ceramic Capacitor, 0.1 uF, 50 V, ± 5%, X7R, 0805 [2012 Metric]",,
RC0603FR-0710KL,c1jba9ycnrkd89c8fpbs0dm1t2,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603 Chip Resistor - Surface Mount ROHS,,
expedite-box,cv2vse83s4hx38dyc5xqgsf65a,Box for Expedite GPS with foam inserts,,
C0805C101J5GACTU,8vzeys741ggnmb3hap6c6scmpj,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V 100pF C0G 0805 5%,,
C1005X5R1E474K050BB,en46xc3b9cg878zngcd4ptzqwg,25V 470nF X5R 卤10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,
10118194-0001LF,cwcr5bg7t8h1b8eq7nesk7a1fx,"USB Connector, 5 Contact(s), Female, Right Angle, Surface Mount Terminal, Locking, Receptacle",,
RMCF0603FT4K30,dg1qbyhjtjgah8x3fqhk2fz673,Res Thick Film 0603 4.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R Automotive AEC-Q200,,
CL21A106KAYNNNG,akfhx36w3wkxgaz72naak4tw68,"Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, +-15% TC, 10uF, Surface Mount, 0805 inch",0805,
0908-3-15-20-75-14-11-0,ez40ve4c5ch7d8r9ynpyh06x3v,Circuit Board Hardware - PCB Spring-Loaded Pin with a Standard Tail,,
GJM1555C1H3R0BB01D,e2dyrgsmmmk5y9m9v0krasz1xn,"Multilayer Ceramic Capacitor, 3 pF, 50 V, ï¿½ 0.1pF, C0G (NP0), 0402 [1005 Metric]",0402,
RC0402FR-07330RL,dss6fbetq6kx8bdnh0j1xwb2vn,Res Thick Film 0402 330 Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R,,
PAM8304AYR,ba6hz9n1egj6zb711jgeg85fad,"Audio Power Amplifier, 3W x 1 @ 4Ohm, D, 1 Channels, 2.8V to 6V, DFN3030, 8 Pins",,
RMC16K130FTP,fmf4bhqvn4heh8j4tvt0tqt6bs,resistor 0603  13(ohms),,
C1220X7R1E104M085AC,egqsw7ybb0gtm8cvr5n72r5dmm,Cap Ceramic 0.1uF 25V X7R 20% SMD 0508 125°C Punched Paper T/R,,
GJM1555C1H5R6BB01D,dvvhacaf4ggpj9vnxcgz782t5b,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 5.6pF 50Volts C0G +/-0.1pF,0402,
RMCF0402FT1K00,bq796rx77pgz7ajs8zttvdyfrf,Res Thick Film 0402 1K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,
JS102011SAQN,ew82zpdzygh8k88s5pwc0tt5sk,JS10 Series SPDT On-On 6 V 0.3 A Gull Wing SMT Slide Switch,,
TPS61091RSAR,dvy7f18d7gjfz86xrxyrxee0xw,"3.3-V Output, 500-mA, 96% Efficient Boost Converter, 20uA, QFN-16 16-QFN -40 to 125",,
0402B103J250CT,cs0xn9gbd6gxn8gc0k5k3a6773,Multilayer Ceramic Capacitors MLCC – SMD/SMT; WALSIN; 0402B103J250CT; 10 nF; 0402; 25 V; 25 V,0402,
APT2012LSECK/J4-PRV,fgbh53p3rcj0s8a5yd9bv5hvke,LED Uni-Color SB. Orange 611nm 2-Pin Chip LED T/R,0805,
885382206004,e1mw3r4r8jgz0a6f1yyy7mvk29,WCAP-CSST 0603 (1608Metric) ceramic capacitor 0.063Lx0.031W 1.60mmx0.80mm X7R ±10% 0.1muF,,
06035A220JAT2A,da0b6hc0w0j3v9tkv1517a5f91,0603 22 pF 50V ±5% Tolerance C0G/NP0 Surface Mount Multilayer Ceramic Capacitor,,
LBM2016T150J,djvjb76bw4k3w8mv0xcb44evby,Inductor Chip Wirewound 15uH 5% 2.52MHz 25Q-Factor Ferrite 190mA 1.95Ohm DCR 0806 T/R,0806,
NXV90EPR,eyz60mjcvyjq684ea1vm2aarkb,Transistor MOSFET P-Channel 30V 1.5A 3-Pin SOT-23,,
WR483245-15F5-G,dqdhaj0hajkhrb23yd863gnk2z,Inductor Wireless Charging Receiving Coil Wirewound 13uH 100KHz 200mOhm DCR RDL Carton,,
RCUCTE,fntwv8sm38hncbf0vb7c51aqk2,Test point 0603 Metal SMD,0603,
expedite-v0.7-partial,ezxgmygas8gnx8mhm8e6y2abrq,"Expedite GPS version 0.7, missing battery connector, battery and enclosure",,
JS202011JCQN,fhrhx94gechk18brs68j9y45mf,JS Series Sub-Miniature Slide Switch DPDT On-On Top Slide 0.3A 6VDC J-Lead Surface Mount T/R,,
RC0603FR-07470RL,fmys8dsmhgjwt9v0tpwakgktve,Res Thick Film 0603 470 Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R,,
