part_number,id,description,footprint,tags
TPS2116DRLR,2cfvbzybmjk6c9f9wmtax51ehm,"1.6-V to 5.5-V, 40-mΩ, 2.5-A, low-IQ, priority power multiplexer ; 8-SOT-5X3 -40 to 125",,
JE2835BWT-P-H30GA0000-N0000001,2ww9zrz8zakneb4qqspbbstan5,LED Uni-Color White 2-PinChip 2835 T/R,,
C0402C223K5REC7411,3y51d4n4kyhyx9033j4nemn5my,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.022uF, Surface Mount, 0402",,
WR04X4700FTL,26etgpz3degte9magspwhqya5n,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,,
C0603C829D8HAC7867,44rygfp4rekbs808ywxgjgnaxa,Cap Cer 0603 8.2PF 10V Ultra Sta,,
RMCF0402FT2K20,45csbrzwz2kb38k4p7ms8sfvg2,Res Thick Film 0402 2.2K Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD Automotive T/R,,
0402HM-9N5EGTS,6kjhxsrjktkmm9pqm72b7j4wz3,Fixed inductor 9.5nH 540mA 140mOhm,0402,inductor;SMD;0402
GEB-602535,33x3j8v38jjtd9mtaq0wgnmxxr,"GEB 602535 500 mAh battery, JST-PH connector, 30 mm wires",,
UCC284DP-ADJ,2v84cqc6tjjj09qz16w61r4z7a,"500-mA, negative, adjustable low-dropout voltage regulator from -40°C to +85°C 8-SOIC",,
KMR231NGLFS,5ahdstsgs0jmhazkejxresjmj3,Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 32VDC 1VA 150000Cycle 3N SMD T/R,,
PFR05S-471-FNH,5dmgt6krpaj8v8pepjf43wbnjb,"Fixed Resistor, Metal Glaze/thick Film, 0.0625W, 470ohm, 50V, 1% +/-Tol, 200ppm/Cel, Surface Mount, 0402",0402,
GJM1555C1H3R9BB01J,2mz0kex2pajkram3nqne3fvc9n,"Multilayer Ceramic Capacitor, 3.9 pF, 50 V, ± 0.1pF, C0G (NP0), 0402 [1005 Metric]",0402,
RC0402FR-071ML,4hsf293m4pjhwacbbjec6yenph,Res Thick Film 0402 1M Ohm 1% 0.063W(1/16W) ±100ppm/C Pad SMD T/R,,
VJ0603Y182KXACW1BC,4th3dsvahpjh8ar9b2wkz1075k,"Multilayer Ceramic Capacitor, 1800 pF, 50 V, ± 10%, X7R, 0603 [1608 Metric]",,
expedite-kit,75h8q7rtnwhz1ad0r4tq0yxna4,"Full Expedite GPS kit including box, USB cable and micro-SD card with adapter",,
sdcard-16gb-sandisk,34zmdz1yvwhafawjm952r4ntct,"Sandisk microSDHC card, 16 GB, Class 10",,
LTST-C193KRKT-5A,35ykhvnem6jzvbvn489be5h9y1,Single-color LEDs; LITEON; LTST-C193KRKT-5A; Red; 130 °; 2.3 V; 0603,,
USB4105-GF-A,5hrp31vb8eh85a7xs0q7s7mnmc,"USB Connector, 24 Contact(s), Female, Right Angle, Solder Terminal, Locking, Receptacle",,
GJM1555C1H470JB01D,5f9cty2eecg0jbgmtpt3fr5psw,50V 47pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0402,
CIGT201610LH2R2MNE,3rc7f7tfpjgja9d301h41agrff,"General Purpose Inductor, 2.2uH, 20%, 1 Element, Metal Composite-Core, SMD",,
RC0402JR-071K5L,566w8wmq96kgp99abb73zraaav,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 1.5kΩ 0402 Chip Resistor - Surface Mount ROHS,,
RC0402FR-07120RL,5fwv6ksm5jhbr996a5ph8f9zm8,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 120Ω 0402 Chip Resistor - Surface Mount ROHS,,
MCP73831T-2ACI/MC,9qrt92yj5mjbwb3j5n4d1jghmh,"Ic, battery Management, llcc, 8Pin, plastic Rohs Compliant: Yes |Microchip MCP73831T-2ACI/MC",,
CC0603JRNPO9BN200,354rz61kd4jyrb1mf4sn4rz2nw,50V 20pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,
BQ51013BQWRHLRQ1,38f5nxx9bjh64achvgzmkxxyrt,Automotive WPC 1.2 compatible fully integrated wireless power receiver IC 20-VQFN -40 to 125,,
CRGCQ0603J2K2,67kpczx5srksmaaagwmqwb8csy,Res Thick Film 0603 2.2K Ohm 5% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R,,
0402N221J250CT,5sc8gwawntgnn9cfay1kjg3wfy,Cap Ceramic 220pF 25V C0G 5% Pad SMD 0402 125C T/R,0402,
GCM155R71H182KA37D,4kh5512vbcgv59kye0th4xzkyh,Cap Ceramic 0.0018uF 50V X7R 10% Pad SMD 0402 125C Automotive T/R,0402,
04025A6R8CAT2A,674bae55bcg7a87e3s3h81z8dn,0402 6.8 pF 50 V ±0.25 pF Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor,0402,
CL10A475KP8NNNC,5m5h7b5vd0hqr8w4d91dc0ckss,10V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0603,
CC0603KRX7R7BB104,awfvbjx5f2gm69s6sf6d3hnv37,16V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0603,
0402N150J250CT,3v9dgwsvzggx0bpbc0dfhavn9g,Cap Ceramic 15pF 25V C0G 5% SMD 0402 125C Paper T/R,0402,
USBLC6-2SC6,3cdab8ndt0j63apsz5cv7hhhgq,5A 17V 6V Unidirectional 5.25V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,,
CL21A106KOQNNNF,6j8k7krts2gj2bmg8b54nf98kt,CL21 Series 0805 10 uF 16 V ±10% Tolerance X5R SMT Multilayer Ceramic Capacitor,,
CL10A475K08NNNC,66gh7z16qrk0nanmdb1wxktmvd,CAP CER 4.7uF 16 V X5R 0603,,
BQ51013BRHLR,52fr0nxg0gk9saefc1sdwebyy8,WPC 1.1 Compatible Fully integrated Wireless power Receiver IC 20-VQFN 0 to 125,,
ZOE-M8B-0,799wwtbkpgh469hgsg1q20gnh2,"u-blox M8 GNSS System-in-Package ROM, TCXO, SAW, LNA, Super-E mode 4.5 x 4.5 mm, S-LGA 51, 1000pcs/reel",,
0402ZC103JAT2A,812vrd0pntkfb8e52g8c4yypa0,"Ceramic Capacitor, Multilayer, Ceramic, 10V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.01uF, Surface Mount, 0402",0402,
S2B-PH-SM4-TB(LF)(SN),b1qdtx86zakj48gt2baavv1vff,"Connector Header, PH Series, 2 Position, Side Entry, 2.00mm, Solder, Surface Mount, Natural",,
RMCF0402FT249K,3vez5b6bmgknp9yffhhtdzwaah,Res Thick Film 0402 249K Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R,0402,
RC0402FR-07300KL,3emqwhhetrjz7aqy8pek41e599,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 300kΩ 0402 Chip Resistor - Surface Mount ROHS,,
RC0402JR-07110KL,85tk8tzyegh2rag43pv0hzqx4a,"SMD Chip Resistor, 110 kOhm, ± 5%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",,
503182-1852,675sntzhrah9baz9bn7wcf0pdc,"Molex 1.10mm Pitch microSD Memory Card Connector, Normal Mount SMT, Push-Push Type, 1.45mm Height, Anti-card fly-out",,
TMK105B7473KV-F,58be5h9m4thjpbf8wjq8kh34k5,"Multilayer Ceramic Capacitors (High dielectric type), 25V, 0.047 uF, ± 10 %, 0402, X7R, RoHS",,
CC0402JRX7R7BB473,7dv8sn2kkmktda6qwegfhvyc4w,Smd Mlcc Multilayer Ceramic Capacitors 47 nF,0402,
LTST-C193KGKT-5A,849r77vm7ggbd9pn0k1tftf60w,LED yellow green 0603 wavelength 567.5~576.5nm light intensity 4.5~28mcd Front Mounting,,
RC0603FR-07340KL,cbr9734gn8k7h93nckfxgg4pzp,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 340kΩ 0603 Chip Resistor - Surface Mount ROHS,,
CR0603-FX-1501ELF,3y75p2gvh6hj685jsqrjd6dp01,Res Thick Film 0603 1.5K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper Tape on Plastic Reel,,
MX25R8035FZUIL0,4s2bvanprtgrbbdbnp57x5qgxq,NOR Flash Serial-SPI 1.8V/2.5V/3.3V 8Mbit 8M/4M/2M x 1bit/2bit/4bit 12ns 8-Pin USON,,
FC-135 32.7680KA-A5,8d1hvvnfjah6r8tv5bhpxxtf95,Crystal 0.032768MHz ±20ppm (Tol) 12.5pF FUND 70000Ohm 2-Pin CSMD T/R,,
BH-105A-1,6jq3d6jyjjj7sb7h6y04y9n2ez,Coin Cell Battery Holders Batt Retain |Adam Tech BH-105A-1,,
RC0402JR-07180RL,5trajw6qywg03baqm3b6d3ypqr,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±5% 180Ω 0402 Chip Resistor - Surface Mount ROHS,,
sdcard-16gb-ceamere,7nfp1fjbbyjecadssb5t55pkmk,"Ceamere microSD card, 16 GB, Class 10 with SD adapter",,
ESR03EZPF10R0,84g50z83vtgjw8knxhwxsbbgzj,Res Thick Film 0603 10 Ohm 1% 0.25W(1/4W) ±100ppm/C Epoxy Resin Pad SMD Automotive T/R,,
LTST-C193KFKT-5A,d7e0s4vxntjbk9cf90z6ynf8s9,LED orange LED0603 wavelength 605nm light intensity 11~45mcd vertical sticker,,
SJ-3523-SMT-TR,3zenkn59tmgjba2xfrn4b7sngf,"3.5 mm, Stereo, Right Angle, Surface Mount (SMT), Audio Jack Connector",,
AO3423,51fbkbqd6pgy6aq3kvq7grmmx3,Trans Mosfet P-ch 20V 2A 3-PIN SOT-23 T/r,,
SBA130CS_R1_00001,8ftn9syyxahzh9y72k0eegdys6,DIODE SCHOTTKY 30V 1A SOD323,,
Q62702P5179,7eqn0xfp7ghgfbpgdgxvhdk58h,LED Uni-Color Green 572nm 2-Pin Chip 0805(2012Metric) T/R,,
LTST-C193TBKT-5A,a83nh6gfr8gnc9st1mg1ff3cv5,LED blue 0603 wavelength 465~475nm light intensity 15mcd Front Mounting,0603,
RC0402JR-0782KL,7t8d8x0g0jj2ha7dhadgy2f26a,"SMD Chip Resistor, 82 kOhm, ± 5%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",,
RMCF0603JT560K,97g18nxb08gnjac36n8cbd9xyh,Res Thick Film 0603 560K Ohm 5% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R,,
UMK105CG8R2DV-F,esz3n3eyg0kncany6652nsepjr,0402 8.2 pF 50 V ±5pF Tolerance C0G/NP0 SMT Multilayer Ceramic Capacitor,,
ATSAMD21E18A-MU,4dcdsxqvx8gptby9fhrfhvs1rf,MCU 32-Bit SAM D21 ARM Cortex M0+ RISC 256KB Flash 3.3V 32-Pin QFN-EP,,
ATSAMD21G18A-MUT,52c36979zwhs29ejadgpdc6jee,MCU 32-Bit SAM D21 ARM Cortex M0+ RISC 256KB Flash 3.3V 48-Pin QFN EP T/R - Tape and Reel,,
SP6205EM5-L-3-3/TR,8h5wxd6q5rhyf9a86yg3wdyfva,500mA 67dB@(1kHz) Fixed 3.3V Positive 5.5V SOT-23-5 Linear Voltage Regulators (LDO) ROHS,,
expedite-v0.7,7pt6302qzcjyt9ywq8tpqe5kz1,"Expedite GPS flight computer, version 0.7",,
ESR03EZPJ102,c2nv5qrcdagcw83dsktdcs3era,Res Thick Film 0603 1K Ohm 5% 0.25W(1/4W) +/-200ppm/C Molded SMD Automotive Paper T/R,,
RMCF0402FT330R,8eg0t88t2tk8b89qg951k5jtx1,Res Thick Film 0402 330 Ohm 1% 0.063W ±100ppm/°C Molded SMD Paper T/R,,
MCR03ERTJ432,9a0qjscg90gz0b766mj25ncvjg,Res Thick Film 0603 4.3KOhm 5% 1/10W ±200ppm/°C Molded SMD Paper T/R,,
RC0402FR-0713RL,5dkyme6pe0jb3bjh2z5k434nt3,"SMD Chip Resistor, 13 Ohm, ± 1%, 63 mW, 0402 [1005 Metric], Thick Film, General Purpose",,
CL10B105KP8NFNC,5p42bqk15jhsrajvevt8w3pn5d,"Ceramic Capacitor, Multilayer, Ceramic, 10V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 0603 inch",,
RR0816P-102-D,8nq0ma6s1wgja829xw2tfa300h,"Fixed Resistor, Thin Film, 0.0625W, 1000ohm, 75V, 0.5% +/-Tol, 25ppm/Cel, Surface Mount, 0603",,
885012206067,8y236xdka2h6785e8wrgcap0e5,Cap Ceramic 0.022uF 25V X7R 10% Pad SMD 0603 125C T/R,,
PFR05S-102-FNH,962ew328srk3bbv0rw5azrt2k1,PFR05 0402 (1005Metric) Chip Resistor ±1% ±200ppm/C 1kOhm 0.063W 1/16W,0402,
DPX252690DT-5072A1,ajpxh5yr44hrd83axme7djpje9,"Diplexers, Pass Band/Low Band=617 to 960MHz, Pass Band/High Band=1452 to 2690MHz",,
nimbus-wpt-pcb-v0.1,cw0kt0qb5yj3dbef9dbf2ap50c,"Bare PCB for Nimbus WPT companion board, version 0.1",,bare-pcb
CL10A105KP8NNNC,5fx1sjst1tg5bb69mnsm6pyzwx,10V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,0603,
STC02SYAN,63sta29nc6kfd8myykvmjmjps4,"Shorting block jumper, 2 contacts, Closed Top, .100"" pitch",,
C0805C225K8RACTU,8sbtywr9vpkjyagzvhdwxddsg9,2.2uF ±10% 10V X7R 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS,,
GRM188R60J106ME470,9h6ccabxv8kye97dy7grjhfk4v,,,
ERJ-2RKF3300X,9rqtk170s4gyzbmscak499yewc,Res Thick Film 0402 330 Ohm 1% 0.1W(1/10W) +/-100ppm/C Molded SMD Automotive Punched T/R,0402,
ZOE-M8Q-0,cfe8qtcw5cgrkajfzzn1bf3ed6,"u-blox M8 GNSS System-in-Package ROM, TCXO, SAW, LNA, 3V 4.5 x 4.5 mm, S-LGA 51",,
CR0603-JW-160ELF,d7qv3sv5ywggq86mmyecapsm0x,Res Thick Film 0603 16 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD T/R,,
RK73H1ERTTP5603F,5wtb81kft8g3p957thsygn2v0p,"Fixed Resistor, Metal Glaze/Thick Film, 0.1W, 560000ohm, 75V, 1% +/-Tol, Surface Mount, 0402",,
BMP388,8g5frp88v6g1m8ybxa9yqjwa4q,BMP388 Series 125 kPa 3.6 V Digital Barometric Pressure Sensor,,
RC0402JR-0720KL,cb1f6hzhtwh5dapqw098hnnr46,Res General Purpose Thick Film 0402 20K Ohm 5% 1/16W ±100ppm/°C Molded SMD Paper T/R,,
885012006050,a5ayagdwscj79ar2sga5nzz45e,WCAP-CSGP 0603 (1608Metric) Ceramic Capacitor 0.063Lx0.031W 1.60mmx0.80mm C0G NP0 ±0.5pF 6.8pF,,
EMK105B7223KV-F,9vczw6dnqwhq48qn971pk7h4zm,"Multilayer Ceramic Capacitors (High dielectric type), 16V, 0.022 uF, ± 10 %, 0402, X7R, RoHS",0402,
BK1005HS102-T,daw6rvnz9rh6yb8an09nr7bxs6,Ferrite Beads Multi-Layer Chip Bead 1KOhm 25% 100MHz 300mA 0402 T/R,,
885012005028,e1h0gszsrpjmtas1vjxvn6g2e5,Ceramic Capacitors 33PF 16V C0G NP0 0402 Class I X5R Class II X7R Class II,,
